name,201503,201404,201405,spring,201406,201407,201408,summer,201409,201410,201411,aturm,201412,201501,201502,winter,average,var
c635,3,10,2,15,6,5,6,17,3,5,5,13,3,4,4,11,14,6.666666667
c636,40,21,21,82,13,12,17,42,12,30,38,80,76,30,25,131,83.75,1330.916667
c637,16,20,19,55,35,31,22,88,16,23,14,53,31,24,19,74,67.5,276.3333333
c639,77,87,119,283,150,248,191,589,105,80,48,233,61,48,53,162,316.75,35406.91667
c642,22,21,21,64,17,19,14,50,16,18,22,56,19,26,21,66,59,54.66666667
c671,275,146,83,504,66,68,53,187,72,91,179,342,319,286,260,865,474.5,84524.33333
c674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c694,6,10,5,21,14,10,7,31,5,10,9,24,14,21,12,47,30.75,134.9166667
c697,4,2,3,9,2,8,3,13,5,3,3,11,4,3,2,9,10.5,3.666666667
c699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c704,5,2,4,11,4,4,3,11,3,4,5,12,7,10,3,20,13.5,19
c705,17,29,23,69,21,29,15,65,28,32,29,89,18,24,22,64,71.75,136.9166667
c706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c711,17,20,20,57,27,29,25,81,21,31,24,76,30,21,16,67,70.25,111.5833333
c713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c731,35,44,54,133,50,38,48,136,45,53,46,144,64,45,38,147,140,43.33333333
c741,24,38,35,97,33,35,27,95,24,33,31,88,19,29,26,74,88.5,108.3333333
c742,20,14,17,51,28,16,22,66,25,30,38,93,35,23,20,78,72,318
c744,133,132,120,385,124,147,102,373,132,161,122,415,163,140,133,436,402.25,818.25
c745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c751,0,1,0,1,1,0,0,1,0,1,1,2,1,2,0,3,1.75,0.916666667
c752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c817,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25
c818,8,6,4,18,10,6,11,27,0,8,17,25,7,9,12,28,24.5,20.33333333
c819,13,20,18,51,22,14,16,52,27,27,15,69,15,21,16,52,56,75.33333333
c820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c899,11,9,3,23,10,13,18,41,15,10,11,36,15,2,5,22,30.5,89.66666667
c014,,,7378,7378,6877,6000,5520,18397,5389,5790,5175,16354,5399,5112,5067,15578,14426.75,23495810.25
c026,335,,289,624,300,249,247,796,313,301,251,865,329,295,328,952,809.25,19326.25
c045,,,895,895,903,957,763,2623,923,990,924,2837,974,965,891,2830,2296.25,882522.25
c046,268,,257,525,280,294,333,907,330,329,250,909,264,265,229,758,774.75,32722.91667
c047,,,1070,1070,1117,1182,1125,3424,1219,1230,1007,3456,824,797,839,2460,2602.5,1257395.667
c061,229,,227,456,250,248,231,729,221,228,211,660,189,207,173,569,603.5,13963
c062,808,,672,1480,640,688,652,1980,729,886,889,2504,876,850,754,2480,2111,235310.6667
c071,,,3126,3126,2578,2515,2267,7360,2852,3473,3028,9353,3098,3026,2889,9013,7213,8181592.667
c073,,,1144,1144,988,935,1078,3001,1235,1547,1501,4283,1703,1524,1505,4732,3290,2584750
c074,,,3694,3694,3551,3474,3102,10127,3577,3982,3706,11265,3694,3652,3294,10640,8931.5,12408273.67
c075,368,,425,793,593,738,863,2194,600,580,440,1620,296,281,287,864,1367.75,443473.5833
c076,522,,417,939,406,453,374,1233,374,421,340,1135,369,357,338,1064,1092.75,15306.91667
c077,,,1203,1203,1137,1245,1138,3520,1152,1153,859,3164,813,737,840,2390,2569.25,1052140.917
c078,,,1554,1554,1699,1752,1987,5438,1761,1586,1343,4690,1294,1175,1162,3631,3828.25,2848342.917
c079,,,1476,1476,1396,1765,1887,5048,1666,1526,1438,4630,1366,1212,1270,3848,3750.5,2546627.667
c080,242,,225,467,223,244,245,712,277,228,182,687,179,192,169,540,601.5,13797.66667
c081,730,,862,1592,870,941,805,2616,892,1074,921,2887,835,750,667,2252,2336.75,314196.9167
c082,419,,655,1074,867,1256,1264,3387,683,535,409,1627,351,425,372,1148,1809,1166784.667
c084,,,1652,1652,1623,1925,1896,5444,1814,2014,1599,5427,1713,1491,1393,4597,4280,3225792.667
c085,,,1413,1413,1507,1671,1660,4838,1499,1589,1370,4458,1238,1185,1093,3516,3556.25,2350392.25
c137,,,1597,1597,1617,1554,1534,4705,1719,1906,2054,5679,2315,2183,1959,6457,4609.5,4547121
c144,405,,298,703,298,286,178,762,277,408,413,1098,469,473,481,1423,996.5,111112.3333
c162,293,,266,559,229,255,248,732,250,319,371,940,292,261,282,835,766.5,26347
c164,,,4183,4183,3629,2923,2150,8702,2167,2063,1973,6203,2154,1999,1688,5841,6232.25,3484340.917
c191,,,1729,1729,1422,1329,1167,3918,1556,1965,2028,5549,2125,1975,2229,6329,4381.25,4135466.917
c192,,,1008,1008,948,944,803,2695,936,1062,1000,2998,971,867,949,2787,2372,842975.3333
c193,,,1572,1572,1508,1421,1352,4281,1479,1776,1773,5028,1897,1816,1620,5333,4053.5,2932123
c194,,,1035,1035,992,936,961,2889,1074,1140,1125,3339,1155,1179,1073,3407,2667.5,1237297
c195,529,,554,1083,517,544,475,1536,563,490,552,1605,519,467,494,1480,1426,54902
c196,,,746,746,671,615,532,1818,603,707,703,2013,768,604,714,2086,1665.75,388770.9167
c197,667,,631,1298,566,544,516,1626,569,631,656,1856,633,646,591,1870,1662.5,71563.66667
c198,811,,758,1569,700,561,551,1812,628,576,883,2087,902,653,768,2323,1947.75,107360.9167
c202,294,,267,561,229,253,262,744,257,302,317,876,269,272,269,810,747.75,18404.25
c212,292,,306,598,262,282,355,899,313,384,303,1000,300,245,214,759,814,30500.66667
c219,360,,289,649,290,359,339,988,292,361,333,986,371,315,256,942,891.25,26532.91667
c221,376,,280,656,274,288,313,875,321,337,329,987,301,274,318,893,852.75,19616.25
c232,498,,437,935,474,410,344,1228,353,484,467,1304,548,494,426,1468,1233.75,49697.58333
c252,,,1113,1113,1042,979,768,2789,956,1214,1105,3275,1169,653,503,2325,2375.5,858846.3333
c261,334,,659,993,840,1176,1181,3197,814,624,438,1876,339,286,231,856,1730.5,1160149.667
c163,,,,,11395,11120,10165,32680,11425,13580,13693,38698,15081,14192,14705,43978,38452,31956588
c681,,,,,13583,13710,12303,39596,13736,14563,13614,41913,14508,13457,13161,41126,40878.33333,1388126.333
