name,data
c001,29
c002,30
c003,1
c011,63
c012,3
c013,4
c014,5790
c021,22
c022,19
c023,0
c024,13
c025,14
c026,301
c027,314
c028,26
c029,2
c031,36
c032,49
c033,45
c041,2
c042,3
c043,44
c044,29
c045,990
c046,329
c047,1230
c048,178
c049,1
c050,150
c061,228
c062,886
c071,3473
c072,80
c073,1547
c074,3982
c075,580
c076,421
c077,1153
c078,1586
c079,1526
c080,228
c081,1074
c082,535
c083,0
c084,2014
c085,1589
c101,2
c102,0
c103,2
c104,0
c105,0
c106,0
c107,0
c108,0
c111,6
c112,2
c113,2
c114,0
c115,8
c116,0
c117,0
c118,1
c119,5
c120,1
c121,11
c122,3
c123,0
c124,0
c125,12
c126,1
c127,0
c128,3
c129,0
c130,2
c131,19
c132,1
c133,52
c134,16
c135,2
c136,25
c137,1906
c138,176
c139,8
c140,0
c141,3
c142,63
c144,408
c146,0
c147,25
c151,1
c152,1
c153,12
c154,25
c155,10
c156,2
c157,1
c158,3
c159,0
c161,130
c162,319
c163,13580
c164,2063
c165,0
c166,1
c171,2
c172,2
c173,1
c174,0
c175,0
c176,0
c181,9
c182,24
c183,4
c184,3
c185,3
c186,0
c187,0
c188,3
c191,1965
c192,1062
c193,1776
c194,1140
c195,490
c196,707
c197,631
c198,576
c199,95
c200,2
c201,77
c202,302
c203,20
c204,151
c205,2
c206,18
c211,28
c212,384
c213,16
c214,29
c215,10
c216,5
c217,2
c218,2
c219,361
c220,6
c221,337
c222,24
c223,0
c231,0
c232,484
c233,2
c234,7
c235,34
c236,0
c251,5
c252,1214
c261,624
c262,79
c263,129
c271,7
c272,0
c301,54
c601,4
c602,20
c603,4
c604,24
c605,12
c606,49
c607,13
c608,13
c609,6
c610,129
c611,0
c612,22
c614,7
c615,2
c616,18
c617,0
c619,1
c620,0
c621,1
c625,0
c631,8
c632,11
c633,1
c634,14
c635,5
c636,30
c637,23
c639,80
c642,18
c671,91
c674,0
c681,14563
c691,0
c693,0
c694,10
c697,3
c699,0
c704,4
c705,32
c706,0
c710,0
c711,31
c713,0
c725,0
c731,53
c741,33
c742,30
c744,161
c745,0
c751,1
c752,0
c765,0
c817,0
c818,8
c819,27
c820,0
c871,0
c899,10
