name,data
c001,28
c002,15
c003,2
c011,46
c012,0
c013,2
c021,26
c022,14
c023,0
c024,2
c025,24
c027,186
c028,18
c029,2
c031,24
c032,52
c033,59
c041,1
c042,4
c043,38
c044,25
c048,113
c049,0
c050,83
c072,45
c083,0
c101,3
c102,0
c103,1
c104,0
c105,0
c106,0
c107,2
c108,0
c111,4
c112,1
c113,0
c114,0
c115,2
c116,0
c117,0
c118,2
c119,1
c120,0
c121,7
c122,2
c123,0
c124,0
c125,5
c126,0
c127,2
c128,0
c129,0
c130,0
c131,10
c132,0
c133,24
c134,11
c135,2
c136,25
c138,161
c139,8
c140,1
c141,0
c142,74
c146,0
c147,0
c151,0
c152,0
c153,0
c154,19
c155,20
c156,0
c157,0
c158,1
c159,0
c161,95
c165,2
c166,0
c171,1
c172,6
c173,0
c174,0
c175,0
c176,0
c181,4
c182,14
c183,0
c184,3
c185,3
c186,1
c187,0
c188,0
c199,100
c200,5
c201,92
c203,40
c204,118
c205,5
c206,13
c211,29
c213,17
c214,27
c215,12
c216,4
c217,0
c218,0
c220,0
c222,27
c223,0
c231,0
c233,10
c234,3
c235,18
c236,0
c251,1
c262,52
c263,52
c271,8
c272,0
c301,23
c601,6
c602,12
c603,1
c604,19
c605,12
c606,69
c607,26
c608,18
c609,3
c610,139
c611,0
c612,23
c614,7
c615,2
c616,17
c617,0
c619,0
c620,0
c621,0
c625,0
c631,10
c632,4
c633,5
c634,20
c635,10
c636,21
c637,20
c639,87
c642,21
c671,146
c674,0
c691,0
c693,0
c694,10
c697,2
c699,0
c704,2
c705,29
c706,0
c710,0
c711,20
c713,0
c725,0
c731,44
c741,38
c742,14
c744,132
c745,0
c751,1
c752,0
c765,0
c817,0
c818,6
c819,20
c820,0
c871,0
c899,9
