name,data
c001,30
c002,16
c003,1
c011,50
c012,5
c013,0
c014,5175
c021,20
c022,21
c023,0
c024,6
c025,19
c026,251
c027,256
c028,13
c029,7
c031,23
c032,69
c033,73
c041,3
c042,4
c043,34
c044,30
c045,924
c046,250
c047,1007
c048,140
c049,0
c050,131
c061,211
c062,889
c071,3028
c072,122
c073,1501
c074,3706
c075,440
c076,340
c077,859
c078,1343
c079,1438
c080,182
c081,921
c082,409
c083,1
c084,1599
c085,1370
c101,0
c102,1
c103,2
c104,0
c105,0
c106,0
c107,0
c108,1
c111,7
c112,1
c113,0
c114,0
c115,7
c116,0
c117,0
c118,2
c119,1
c120,1
c121,6
c122,2
c123,1
c124,0
c125,6
c126,0
c127,0
c128,1
c129,1
c130,4
c131,9
c132,4
c133,119
c134,13
c135,4
c136,22
c137,2054
c138,199
c139,12
c140,1
c141,9
c142,57
c144,413
c146,0
c147,24
c151,0
c152,1
c153,17
c154,15
c155,17
c156,1
c157,2
c158,0
c159,0
c161,109
c162,371
c163,13693
c164,1973
c165,0
c166,1
c171,3
c172,0
c173,0
c174,0
c175,0
c176,0
c181,8
c182,40
c183,4
c184,7
c185,9
c186,0
c187,2
c188,8
c191,2028
c192,1000
c193,1773
c194,1125
c195,552
c196,703
c197,656
c198,883
c199,85
c200,8
c201,117
c202,317
c203,39
c204,212
c205,6
c206,13
c211,37
c212,303
c213,13
c214,17
c215,16
c216,5
c217,3
c218,0
c219,333
c220,11
c221,329
c222,19
c223,0
c231,0
c232,467
c233,5
c234,1
c235,22
c236,0
c251,3
c252,1105
c261,438
c262,74
c263,58
c271,9
c272,0
c301,49
c601,9
c602,19
c603,4
c604,9
c605,11
c606,62
c607,21
c608,30
c609,7
c610,137
c611,0
c612,24
c614,6
c615,3
c616,15
c617,0
c619,0
c620,0
c621,1
c625,0
c631,10
c632,13
c633,5
c634,15
c635,5
c636,38
c637,14
c639,48
c642,22
c671,179
c674,0
c681,13614
c691,0
c693,0
c694,9
c697,3
c699,0
c704,5
c705,29
c706,0
c710,0
c711,24
c713,0
c725,0
c731,46
c741,31
c742,38
c744,122
c745,0
c751,1
c752,0
c765,0
c817,0
c818,17
c819,15
c820,0
c871,0
c899,11
