name,data
c001,24
c002,17
c003,0
c011,40
c012,1
c013,2
c014,5112
c021,21
c022,16
c023,1
c024,7
c025,11
c026,295
c027,284
c028,9
c029,10
c031,22
c032,57
c033,59
c041,1
c042,0
c043,40
c044,30
c045,965
c046,265
c047,797
c048,77
c049,1
c050,101
c061,207
c062,850
c071,3026
c072,143
c073,1524
c074,3652
c075,281
c076,357
c077,737
c078,1175
c079,1212
c080,192
c081,750
c082,425
c083,1
c084,1491
c085,1185
c101,2
c102,4
c103,4
c104,0
c105,0
c106,0
c107,0
c108,1
c111,3
c112,1
c113,1
c114,0
c115,7
c116,1
c117,0
c118,5
c119,2
c120,0
c121,4
c122,5
c123,0
c124,3
c125,7
c126,0
c127,1
c128,2
c129,0
c130,0
c131,23
c132,3
c133,141
c134,17
c135,0
c136,40
c137,2183
c138,190
c139,7
c140,1
c141,3
c142,76
c144,473
c146,0
c147,24
c151,0
c152,1
c153,12
c154,25
c155,24
c156,0
c157,2
c158,2
c159,0
c161,144
c162,261
c163,14192
c164,1999
c165,4
c166,4
c171,6
c172,0
c173,0
c174,0
c175,1
c176,0
c181,7
c182,45
c183,3
c184,4
c185,6
c186,0
c187,0
c188,9
c191,1975
c192,867
c193,1816
c194,1179
c195,467
c196,604
c197,646
c198,653
c199,98
c200,7
c201,98
c202,272
c203,34
c204,153
c205,1
c206,11
c211,59
c212,245
c213,15
c214,33
c215,14
c216,1
c217,2
c218,0
c219,315
c220,7
c221,274
c222,16
c223,0
c231,0
c232,494
c233,6
c234,7
c235,27
c236,0
c251,1
c252,653
c261,286
c262,54
c263,22
c271,6
c272,0
c301,28
c601,14
c602,11
c603,11
c604,23
c605,14
c606,46
c607,11
c608,14
c609,4
c610,150
c611,0
c612,10
c614,2
c615,4
c616,15
c617,0
c619,0
c620,0
c621,0
c625,0
c631,8
c632,8
c633,0
c634,12
c635,4
c636,30
c637,24
c639,48
c642,26
c671,286
c674,0
c681,13457
c691,0
c693,0
c694,21
c697,3
c699,0
c704,10
c705,24
c706,0
c710,0
c711,21
c713,0
c725,0
c731,45
c741,29
c742,23
c744,140
c745,0
c751,2
c752,0
c765,0
c817,0
c818,9
c819,21
c820,0
c871,0
c899,2
