name,data
c001,47
c002,19
c003,1
c011,55
c012,0
c013,2
c014,5520
c021,19
c022,23
c023,0
c024,22
c025,28
c026,247
c027,222
c028,15
c029,3
c031,29
c032,62
c033,63
c041,4
c042,4
c043,27
c044,24
c045,763
c046,333
c047,1125
c048,130
c049,0
c050,103
c061,231
c062,652
c071,2267
c072,15
c073,1078
c074,3102
c075,863
c076,374
c077,1138
c078,1987
c079,1887
c080,245
c081,805
c082,1264
c083,2
c084,1896
c085,1660
c101,3
c102,1
c103,3
c104,0
c105,0
c106,0
c107,4
c108,1
c111,6
c112,2
c113,1
c114,0
c115,1
c116,0
c117,0
c118,0
c119,0
c120,1
c121,7
c122,2
c123,0
c124,0
c125,6
c126,0
c127,2
c128,1
c129,0
c130,0
c131,23
c132,0
c133,13
c134,7
c135,1
c136,9
c137,1534
c138,150
c139,7
c140,1
c141,2
c142,82
c144,178
c146,0
c147,15
c151,0
c152,1
c153,0
c154,14
c155,4
c156,1
c157,0
c158,0
c159,0
c161,114
c162,248
c163,10165
c164,2150
c165,4
c166,0
c171,2
c172,1
c173,0
c174,0
c175,0
c176,0
c181,8
c182,4
c183,1
c184,1
c185,1
c186,2
c187,0
c188,5
c191,1167
c192,803
c193,1352
c194,961
c195,475
c196,532
c197,516
c198,551
c199,84
c200,29
c201,69
c202,262
c203,13
c204,101
c205,1
c206,10
c211,24
c212,355
c213,16
c214,25
c215,16
c216,3
c217,1
c218,0
c219,339
c220,2
c221,313
c222,32
c223,0
c231,0
c232,344
c233,2
c234,2
c235,38
c236,0
c251,12
c252,768
c261,1181
c262,107
c263,300
c271,12
c272,0
c301,34
c601,1
c602,19
c603,1
c604,11
c605,10
c606,53
c607,23
c608,26
c609,12
c610,97
c611,0
c612,29
c614,11
c615,8
c616,24
c617,0
c619,3
c620,0
c621,0
c625,1
c631,11
c632,18
c633,2
c634,18
c635,6
c636,17
c637,22
c639,191
c642,14
c671,53
c674,0
c681,12303
c691,0
c693,0
c694,7
c697,3
c699,0
c704,3
c705,15
c706,0
c710,0
c711,25
c713,0
c725,0
c731,48
c741,27
c742,22
c744,102
c745,0
c751,0
c752,0
c765,0
c817,0
c818,11
c819,16
c820,0
c871,0
c899,18
