name,data
c001,42
c002,25
c003,3
c011,76
c012,1
c013,5
c014,6877
c021,31
c022,15
c023,0
c024,19
c025,24
c026,300
c027,224
c028,11
c029,7
c031,32
c032,51
c033,74
c041,1
c042,2
c043,23
c044,24
c045,903
c046,280
c047,1117
c048,109
c049,0
c050,113
c061,250
c062,640
c071,2578
c072,16
c073,988
c074,3551
c075,593
c076,406
c077,1137
c078,1699
c079,1396
c080,223
c081,870
c082,867
c083,0
c084,1623
c085,1507
c101,3
c102,1
c103,2
c104,0
c105,0
c106,0
c107,1
c108,0
c111,3
c112,2
c113,1
c114,0
c115,7
c116,0
c117,1
c118,2
c119,4
c120,1
c121,10
c122,5
c123,0
c124,1
c125,4
c126,0
c127,3
c128,1
c129,0
c130,0
c131,16
c132,2
c133,18
c134,7
c135,0
c136,14
c137,1617
c138,178
c139,5
c140,0
c141,4
c142,58
c144,298
c146,1
c147,5
c151,0
c152,0
c153,0
c154,20
c155,7
c156,2
c157,1
c158,1
c159,0
c161,112
c162,229
c163,11395
c164,3629
c165,0
c166,0
c171,2
c172,7
c173,0
c174,0
c175,0
c176,0
c181,4
c182,10
c183,0
c184,3
c185,1
c186,0
c187,2
c188,6
c191,1422
c192,948
c193,1508
c194,992
c195,517
c196,671
c197,566
c198,700
c199,108
c200,10
c201,84
c202,229
c203,22
c204,129
c205,5
c206,9
c211,25
c212,262
c213,17
c214,35
c215,12
c216,3
c217,1
c218,0
c219,290
c220,0
c221,274
c222,20
c223,0
c231,0
c232,474
c233,1
c234,2
c235,33
c236,0
c251,7
c252,1042
c261,840
c262,83
c263,136
c271,6
c272,0
c301,35
c601,3
c602,12
c603,9
c604,19
c605,8
c606,54
c607,19
c608,26
c609,6
c610,90
c611,2
c612,13
c614,9
c615,3
c616,21
c617,0
c619,7
c620,0
c621,0
c625,0
c631,12
c632,10
c633,3
c634,16
c635,6
c636,13
c637,35
c639,150
c642,17
c671,66
c674,0
c681,13583
c691,0
c693,0
c694,14
c697,2
c699,0
c704,4
c705,21
c706,0
c710,0
c711,27
c713,0
c725,0
c731,50
c741,33
c742,28
c744,124
c745,0
c751,1
c752,0
c765,0
c817,0
c818,10
c819,22
c820,0
c871,0
c899,10
